Subfamily,Tribe,Division,Genus,Species,Species authority,Genus authority,Geographic Region,Genus species,Exons,Exons to Capture,Exons Status,Source Institution,Exome,Exome Status,Genome,Genome Status,Sperm,Skin,Notes Status,Notes Taxon,Samples,,,,,,,,,,,
Murinae,Rattini,Rattus,Abditomys,latidens,Sanborn,Sanborn,PHILIPPINES,Abditomys latidens,Y,Maybe,Extraction failed;  request new sample?,,Maybe,Failed Extraction at UoM,,,,,Other Samples?,,USNM 37244,,,,,,,,,,,
Murinae,Hydromyini,Mallomys,Abeomelomys,sevia,Tate & Archbold,Tate & Archbold,SAHUL,Abeomelomys sevia,Y,N,Complete,,Y ,In Capture at UoM,,,,Y,,,Abeomelomys_sevia_KU160657_EC4,Abeomelomys_sevia_KU161018_EC5,Abeomelomys_sevia_M21344_EC4,Abeomelomys_sevia_NHM_ZD_1950_1720_EC4,,,,,,,,
Murinae,Arvicanthini,Aethomys,Aethomys,bocagei,Thomas,Noack,AFRICA,Aethomys bocagei,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Aethomys,Aethomys,chrysophilus,De Winton,Noack,AFRICA,Aethomys chrysophilus,Y ,Y,To Request,MVZ:Mamm:220936,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Aethomys,Aethomys,hindei,Thomas,Noack,AFRICA,Aethomys hindei,Y ,N,Exome,,Y ,In Capture at UoM,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Aethomys,Aethomys,ineptus,Thomas & Wroughton,Noack,AFRICA,Aethomys ineptus,Y ,Y,To Request,"ABTC	65829 (no voucher",NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Aethomys,Aethomys,kaiseri,Noack,Noack,AFRICA,Aethomys kaiseri,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Aethomys,Aethomys,nyikae,Thomas,Noack,AFRICA,Aethomys nyikae,Y ,N,Exome,,Y ,In Capture at UoM,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Aethomys,Aethomys,silindensis,Roberts,Noack,AFRICA,Aethomys silindensis,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Aethomys,Aethomys,stannarius,Thomas,Noack,AFRICA,Aethomys stannarius,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Aethomys,Aethomys,thomasi,De Winton,Noack,AFRICA,Aethomys thomasi,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Pogonomys,Anisomys,imitator,Thomas,Thomas,SAHUL,Anisomys imitator,Y ,N,Complete,,Y ,In Capture at UoM,,,,,,,Anisomys_imitator_ABTC45107_EC1,,,,,,,,,,,
Murinae,Rattini,incertae sedis,Anonymomys,mindorensis,Musser,Musser,PHILIPPINES,Anonymomys mindorensis,Y ,N,Exome,,ADD ,ADD_Need Sample,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,agrarius,Pallas,Linnaeus,ASIA,Apodemus agrarius,Y ,Y,To Request,MVZ:Mamm:159222,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,alpicola,Heinrich,Linnaeus,ASIA,Apodemus alpicola,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,argenteus,Temminck,Linnaeus,ASIA,Apodemus argenteus,Y ,Y,To Request,MSB:Mamm:212754,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,avicennicus,Darvish;  Javidkar;  & Siahsarvie,Linnaeus,ASIA,Apodemus avicennicus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,chevrieri,Milne-Edwards,Linnaeus,ASIA,Apodemus chevrieri,Y ,Y,To Request,MSB:Mamm:141187,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,draco,Barrett-Hamilton,Linnaeus,ASIA,Apodemus draco,Y ,Y,To Request,MSB:Mamm:141170,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,epimelas,Nehring,Linnaeus,ASIA,Apodemus epimelas,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,flavicollis,Melchior,Linnaeus,ASIA,Apodemus flavicollis,Y ,Y,To Request,MVZ:Mamm:155898,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,gurkha,Thomas,Linnaeus,ASIA,Apodemus gurkha,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,hyrcanicus,Vorontsov;  Boyeskorov;  & Mezhzherin,Linnaeus,ASIA,Apodemus hyrcanicus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,ilex,Thomas,Linnaeus,ASIA,Apodemus ilex,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,latronum,Thomas,Linnaeus,ASIA,Apodemus latronum,Y ,Y,To Request,MSB:Mamm:141250,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,microps,,,ASIA,Apodemus microps,Y ,Y,To Request,MSB:Mamm:94425,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,mystacinus,Danford & Alston,Linnaeus,ASIA,Apodemus mystacinus,Y ,Y,To Request,MVZ:Mamm:159224,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,pallipes,Barrett-Hamilton,Linnaeus,ASIA,Apodemus pallipes,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,peninsulae,Thomas,Linnaeus,ASIA,Apodemus peninsulae,Y ,Y,To Request,MSB:Mamm:141222,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,ponticus,Sviridenko,Linnaeus,ASIA,Apodemus ponticus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,rusiges,Miller,Linnaeus,ASIA,Apodemus rusiges,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,semotus,,,ASIA,Apodemus semotus,Y ,N,Exome,,Y ,In Capture at UoM,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,speciosus,Temminck,Linnaeus,ASIA,Apodemus speciosus,Y ,Y,To Request,MSB:Mamm:45255,NO,,Available,NCBI,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,sylvaticus,Linnaeus,Linnaeus,ASIA,Apodemus sylvaticus,Y ,N,Exome,,Y ,Complete,Available,NCBI,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,uralensis,Pallas,Linnaeus,ASIA,Apodemus uralensis,Y ,Y,To Request,MSB:Mamm:290100,NO,,,,,,,,,,,,,,,,,,,
Murinae,Apodemini,Apodemus,Apodemus,witherbyi,Thomas,Linnaeus,ASIA,Apodemus witherbyi,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,abrae,Sanborn,Meyer,PHILIPPINES,Apomys abrae,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,aurorae,Heaney;  Balete;  Rickart;  Alviola;  M. R. M. Duya;  M. V. Duya;  Veluz;  Vendevrede;  & Steppan,Meyer,PHILIPPINES,Apomys aurorae,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,banahao,Heaney;  Balete;  Rickart;  Alviola;  M. R. M. Duya;  M. V. Duya;  Veluz;  Vendevrede;  & Steppan,Meyer,PHILIPPINES,Apomys banahao,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,brownorum,Heaney;  Balete;  Rickart;  Alviola;  M. R. M. Duya;  M. V. Duya;  Veluz;  Vendevrede;  & Steppan,Meyer,PHILIPPINES,Apomys brownorum,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,camiguinensis,Heaney & Tabaranza Jr.,Meyer,PHILIPPINES,Apomys camiguinensis,Y ,N,Exome,,Y ,Library at UoM not in Capture,Maybe one Apomys,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,datae,Meyer,Meyer,PHILIPPINES,Apomys datae,Y ,N,Exome,,Y ,Library at UoM not in Capture,Maybe one Apomys,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,gracilirostris,Ruedas,Meyer,PHILIPPINES,Apomys gracilirostris,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
