Label,Filter step,Reads
Apomys-lubangensis,0,39430527
Batomys-salomonseni,0,44940074
Bulimus-bagobus,0,40153287
Chrotomys-mindorensis,0,49326561
Phloeomys-pallidus,0,43270999
Rhynchomys-isarogensis,0,48708525
Sundamys-meulleri,0,32933675
Taeromys-punicans,0,73725174
Hyorhinomys-stuempkei,0,35631743
Hybomys-univittatus,0,39978705
Colomys-goslingi,0,54291190
Malacomys-longipes,0,50366563
Hylomyscus-vulcanorum,0,59460468
Praomys-degraaffi,0,53955265
Grammomys-sp,0,57307396
Lemniscomys-striatus,0,40776560
Berylymys-bowersi,0,82302530
Crunomys-celebensis,0,41672317
Echiothrix-centrosa,0,31915700
Gracillimus-radix,0,59265483
Leopoldomys-sabanus,0,43670761
Margaretamys-parvus,0,73791976
Melasmothrix-naso,0,38456046
Paucidentomys-vermidax,0,35954259
Sommeromys-macrorhinos,0,36340049
Tateomys-macrocercus,0,29225186
Tateomys-rhinogradoides,0,46984426
Waiomys-mamasae,0,60833873
Chiropodomys-gliroides,0,35074373
Lorentzimys-nouhuysi,0,54971983
Mastacomys-fuscus,0,46594794
Melomys-rufescens,0,45403051
Hydromys-chrysogaster,0,65162935
Apodemus-sylvaticus,0,36422145
Archboldomys-luzonensis,0,38016676
Bunomys-chrysocomus,0,45900895
Haeromys-minahassae,0,33750595
Maxomys-surifer,0,43614327
Niviventer-lepturus,0,40554596
Paruromys-dominator,0,25368777
Bunomys-andrewsi,0,27342995
Rattus-exulans,0,62650906
Rattus-hoffmanni,0,115914979
Rattus-leucopus,0,28347387
Rattus-lutreolus,0,34011907
Maxomys-musschenbroekii,0,30698292
Rattus-praetor,0,26153464
Rattus-villosissimus,0,35322678
Mus-caroli,0,57290523
Mus-cervicolor,0,77059554
Mus-cookii,0,82597715
Mus-macedonicus,0,51092698
Mus-minutoides,0,64445466
Mus-molossinus,0,42887967
Mus-musculus-castaneus,0,43068978
Mus-musculus-domesticus,0,67769204
Mus-musculus-musculus,0,70323731
Mus-musculus-reference,0,36881941
Mus-pahari,0,51307296
Mus-platythrix,0,81440486
Mus-spicilegus,0,46423284
Mus-spretus,0,37938209
Coccymys-ruemmleri,0,32996526
Grammomys-dryas,0,33710426
Carpomys-melanurus,0,28354290
Crateromys-heaneyi,0,36630842
Dasymys-montanus,0,34265426
Aethomys-hindei,0,41601482
Hylomyscus-stella,0,43945642
Anisomys-imitator,0,48087338
Crunomys-melanius,0,32602620
Niviventer-rapit,0,31670356
Phloeomys-cumingii,0,34013230
Aethomys-nyikae,0,39728404
Hybomys-planifrons,0,41061690
Pogonomys-macrourus,0,43583232
Musseromys-anacuao,0,31889540
Limnomys-sibuanus,0,33006740
Pithecheir-melanurus,0,30172486
Thamnomys-sp.,0,41875098
Mammelomys-lanosus,0,32681436
Xenuromys-barbatus,0,43306002
Hydromys-sp-nov,0,39014590
Xeromys-myoides,0,29354318
Pseudohydromys-ellermani,0,39681404
Leptomys-elegans,0,33069852
Pelomys-isseli,0,38177966
Mus-pos_ctrl_F,0,4171622
Mus-pos_ctrl_E,0,3139548
Niviventer-bukit,0,38370432
Genus-sp-nov,0,37196074
Saxatilomys-paulinae,0,34890780
Crunomys-sp.,0,32978348
Microhydromys-richardsoni,0,37706842
Uromys-caudimaculatus,0,37186694
Mirzamys-louiseae,0,41706860
Papagomys-armandvillei,0,39029930
Chiromyscus-chiropus,0,35043450
Pogonomelomys-bruijni,0,31809228
Paraleptomys-sp,0,41781002
Oenomys-hypoxanthus,0,37522238
Bandicota-indica,0,30405058
Rattus-xanthurus,0,38005628
Lenomys-meyeri,0,40107456
Thamnomys-kempi,0,33091898
Parahydromys-asper,0,35429438
Rattus-argentiventer,0,31257002
Uromys-sp-nov,0,37208110
Otomys-tropicalis,0,32553470
Niviventer-cremoriventer,0,47040818
Otomys-denti,0,38130440
Praomys-jacksoni,0,38549594
Mus-pos_ctrl_C,0,3528302
Mus-pos_ctrl_B,0,3329866
Mus-pos_ctrl_D1,0,2419816
Margaretamys-christinae,0,39851110
Dasymys-incomtus,0,41014600
Taeromys-callitrichus,0,43116848
Hybomys-lunaris,0,41007648
Sundamys-annandalei,0,39891624
Nesokia-indica,0,36529618
Macruromys-major,0,47570600
Mus-musculoides,0,70205740
Pelomys-minor,0,46514704
Tarsomys-apoensis,0,37683818
Batomys-russatus,0,33606278
Halmaheramys-bokimekot,0,36616106
Chiruromys-vates,0,46581702
Chrotomys-whiteheadi,0,35401028
Abeomelomys-sevia,0,27142292
Berylmys-mackenzii,0,35357278
Solomys-salebrosus,0,41852882
Zelotomys-woosnami,0,45558236
Kadarsanomys-sodyi,0,21067500
Mallomys-rothschildi,0,39818142
Taeromys-taerae,0,38391576
Vandeleuria-oleracea,0,38413180
Mus-pos_ctrl_A,0,1669996
Mus-pos_ctrl_G,0,1333082
Mus-pos_ctrl_D2,0,1919848
Conilurus-albipes,0,183436990
Conilurus-penicillatus,0,31835110
Leggadina-forresti,0,44054256
Leggadina-lakedownensis,0,61153568
Mesembriomys-gouldii,0,39057987
Mesembriomys-macrurus,0,25982150
Notomys-alexis,0,39797475
Notomys-amplus,0,159689029
Notomys-aquilo,0,44052994
Notomys-cervinus,0,37034198
Notomys-fuscus,0,38986104
Notomys-longicaudatus,0,113074849
Notomys-macrotis,0,71894529
Notomys-mitchellii,0,23772876
Pseudomys-patrius,0,41130512
Pseudomys-pilligaensis,0,28136555
Pseudomys-shortridgei,0,33791802
Rattus-colletti,0,45048644
Rattus-tunneyi,0,25226372
Zyzomys-argurus,0,48945848
Zyzomys-maini,0,47239994
Zyzomys-palatalis,0,29835520
Zyzomys-pedunculatus,0,67229380
Zyzomys-woodwardi,0,21069256
Apomys-lubangensis,1,38112175
Batomys-salomonseni,1,43558384
Bulimus-bagobus,1,38877208
Chrotomys-mindorensis,1,47741516
Phloeomys-pallidus,1,41869477
Rhynchomys-isarogensis,1,47182640
Sundamys-meulleri,1,31829024
Taeromys-punicans,1,72073844
Hyorhinomys-stuempkei,1,34454945
Hybomys-univittatus,1,38419528
Colomys-goslingi,1,52555479
Malacomys-longipes,1,48676990
Hylomyscus-vulcanorum,1,57575121
Praomys-degraaffi,1,52208229
Grammomys-sp,1,55518531
Lemniscomys-striatus,1,39405459
Berylymys-bowersi,1,79820239
Crunomys-celebensis,1,40292856
Echiothrix-centrosa,1,30893406
Gracillimus-radix,1,57392306
Leopoldomys-sabanus,1,42133697
Margaretamys-parvus,1,72276302
Melasmothrix-naso,1,37254155
Paucidentomys-vermidax,1,34705029
Sommeromys-macrorhinos,1,35164753
Tateomys-macrocercus,1,28300553
Tateomys-rhinogradoides,1,45337474
Waiomys-mamasae,1,59039861
Chiropodomys-gliroides,1,33883685
Lorentzimys-nouhuysi,1,53152101
Mastacomys-fuscus,1,45029981
Melomys-rufescens,1,43904687
Hydromys-chrysogaster,1,62777770
Apodemus-sylvaticus,1,35193013
Archboldomys-luzonensis,1,36680218
Bunomys-chrysocomus,1,44282646
Haeromys-minahassae,1,32488963
Maxomys-surifer,1,42159209
Niviventer-lepturus,1,39132552
Paruromys-dominator,1,24517397
Bunomys-andrewsi,1,25889762
Rattus-exulans,1,59271698
Rattus-hoffmanni,1,111339661
Rattus-leucopus,1,26835411
Rattus-lutreolus,1,31991207
Maxomys-musschenbroekii,1,28929868
Rattus-praetor,1,24698593
Rattus-villosissimus,1,33463451
Mus-caroli,1,54849723
Mus-cervicolor,1,73633353
Mus-cookii,1,79071844
Mus-macedonicus,1,49190458
Mus-minutoides,1,61604587
Mus-molossinus,1,41324941
Mus-musculus-castaneus,1,41240448
Mus-musculus-domesticus,1,65118129
Mus-musculus-musculus,1,67840810
Mus-musculus-reference,1,35428461
Mus-pahari,1,49070835
Mus-platythrix,1,78204933
Mus-spicilegus,1,44812944
Mus-spretus,1,36506531
Coccymys-ruemmleri,1,32535128
Grammomys-dryas,1,33206516
Carpomys-melanurus,1,27918356
Crateromys-heaneyi,1,36070468
Dasymys-montanus,1,33777594
Aethomys-hindei,1,41017616
Hylomyscus-stella,1,43123108
Anisomys-imitator,1,47439572
Crunomys-melanius,1,31969260
Niviventer-rapit,1,31298624
Phloeomys-cumingii,1,33616120
Aethomys-nyikae,1,39160080
Hybomys-planifrons,1,40597440
Pogonomys-macrourus,1,43026862
Musseromys-anacuao,1,31513488
Limnomys-sibuanus,1,32443936
Pithecheir-melanurus,1,29841598
Thamnomys-sp.,1,41389532
Mammelomys-lanosus,1,32284246
Xenuromys-barbatus,1,42745120
Hydromys-sp-nov,1,38498866
Xeromys-myoides,1,28938296
Pseudohydromys-ellermani,1,39192850
Leptomys-elegans,1,32684744
Pelomys-isseli,1,37650270
Mus-pos_ctrl_F,1,4091936
Mus-pos_ctrl_E,1,3089696
Niviventer-bukit,1,37958500
Genus-sp-nov,1,36802616
Saxatilomys-paulinae,1,34486190
Crunomys-sp.,1,32397968
Microhydromys-richardsoni,1,37184758
Uromys-caudimaculatus,1,36719838
Mirzamys-louiseae,1,41214466
Papagomys-armandvillei,1,38627488
Chiromyscus-chiropus,1,34663840
Pogonomelomys-bruijni,1,31450314
Paraleptomys-sp,1,41270412
Oenomys-hypoxanthus,1,37142664
Bandicota-indica,1,30089924
Rattus-xanthurus,1,37535988
Lenomys-meyeri,1,39597398
Thamnomys-kempi,1,32737844
Parahydromys-asper,1,35039168
Rattus-argentiventer,1,30931360
Uromys-sp-nov,1,36794368
Otomys-tropicalis,1,32163816
Niviventer-cremoriventer,1,46458810
Otomys-denti,1,37709588
Praomys-jacksoni,1,38018516
Mus-pos_ctrl_C,1,3480234
Mus-pos_ctrl_B,1,3290854
Mus-pos_ctrl_D1,1,2388050
Margaretamys-christinae,1,39450864
Dasymys-incomtus,1,40419682
Taeromys-callitrichus,1,42492938
Hybomys-lunaris,1,40547540
Sundamys-annandalei,1,39394664
Nesokia-indica,1,36143090
Macruromys-major,1,46866108
Mus-musculoides,1,69232688
Pelomys-minor,1,45860018
Tarsomys-apoensis,1,37168434
Batomys-russatus,1,33102862
Halmaheramys-bokimekot,1,36157696
Chiruromys-vates,1,46072970
Chrotomys-whiteheadi,1,34939788
Abeomelomys-sevia,1,26799628
Berylmys-mackenzii,1,34968580
Solomys-salebrosus,1,41416594
Zelotomys-woosnami,1,45038762
Kadarsanomys-sodyi,1,20813458
Mallomys-rothschildi,1,39382370
Taeromys-taerae,1,37950324
Vandeleuria-oleracea,1,38030076
Mus-pos_ctrl_A,1,1649330
Mus-pos_ctrl_G,1,1315200
Mus-pos_ctrl_D2,1,1891312
Conilurus-albipes,1,178705157
Conilurus-penicillatus,1,31116486
Leggadina-forresti,1,44000998
Leggadina-lakedownensis,1,60293621
Mesembriomys-gouldii,1,38153434
Mesembriomys-macrurus,1,25397337
Notomys-alexis,1,39175218
Notomys-amplus,1,154909873
Notomys-aquilo,1,43630784
Notomys-cervinus,1,36946342
Notomys-fuscus,1,38703662
Notomys-longicaudatus,1,111830901
Notomys-macrotis,1,69545155
Notomys-mitchellii,1,22208048
Pseudomys-patrius,1,40997573
Pseudomys-pilligaensis,1,28055409
Pseudomys-shortridgei,1,33016764
Rattus-colletti,1,44916615
Rattus-tunneyi,1,25159581
Zyzomys-argurus,1,48712368
Zyzomys-maini,1,47090671
Zyzomys-palatalis,1,29712320
Zyzomys-pedunculatus,1,66898498
Zyzomys-woodwardi,1,20981164
Apomys-lubangensis,2,38065233
Batomys-salomonseni,2,43523940
Bulimus-bagobus,2,38842120
Chrotomys-mindorensis,2,47713874
Phloeomys-pallidus,2,41840162
Rhynchomys-isarogensis,2,47137004
Sundamys-meulleri,2,31793286
Taeromys-punicans,2,72003140
Hyorhinomys-stuempkei,2,34401195
Hybomys-univittatus,2,38389862
Colomys-goslingi,2,52516772
Malacomys-longipes,2,48648254
Hylomyscus-vulcanorum,2,57527299
Praomys-degraaffi,2,52162267
Grammomys-sp,2,55481872
Lemniscomys-striatus,2,39371978
Berylymys-bowersi,2,79723676
Crunomys-celebensis,2,40262440
Echiothrix-centrosa,2,30855658
Gracillimus-radix,2,57333904
Leopoldomys-sabanus,2,42086295
Margaretamys-parvus,2,72191155
Melasmothrix-naso,2,37219963
Paucidentomys-vermidax,2,34669198
Sommeromys-macrorhinos,2,35125718
Tateomys-macrocercus,2,28275414
Tateomys-rhinogradoides,2,45294414
Waiomys-mamasae,2,58950751
Chiropodomys-gliroides,2,33855504
Lorentzimys-nouhuysi,2,53114061
Mastacomys-fuscus,2,45000402
Melomys-rufescens,2,43872387
Hydromys-chrysogaster,2,62702159
Apodemus-sylvaticus,2,35165235
Archboldomys-luzonensis,2,36655245
